time,open,high,low,close
1207575000,137.87,138.57001,136.74001,136.96001
1207661400,136.19,137.1554,135.95,136.82001
1207747800,136.61,136.8,134.89,135.83
1207834200,135.39,136.67,134.89999,136.02
1207920600,134.45,135.9837,133.00999,133.38
1208179800,133.19,133.53999,132.55,132.92999
1208266200,133.58,133.69,132.33,133.24001
1208352600,134.53999,136.92999,134.39999,136.85001
1208439000,136.02,137.25,135.66,137.05
1208525400,138.94,139.56,138.25999,138.48
1208784600,138.23,138.98,136.87,138.55
1208871000,138.19,138.37,136.64,137.94
1208957400,138.09,138.78,137.12,137.72
1209043800,138.08,139.74001,137.03999,138.32001
1209130200,139.41,139.89,137.91,139.60001
1209389400,139.88,140.25,139.38,139.63
1209475800,139.39,139.73,138.61,139.08
1209562200,139.28999,140.59,138.25999,138.25999
1209648600,138.39,141.12,138.27,141.12
1209735000,142.33,142.37,140.56,141.50999
1209994200,141.05,141.61,140.41,140.83
1210080600,140.00999,142.2,139.69,142.05
1210167000,141.89,142.03999,139.13,139.52
1210253400,139.74001,140.32001,138.98,139.16
1210339800,138.60001,139.39,138.45,138.89999
1210599000,139.25,140.56,138.73,140.46001
1210685400,140.8,140.89,139.73,140.48
1210771800,141.07001,142.2,140.46201,140.77
1210858200,141.03999,142.63,140.83,142.53
1210944600,142.86,142.87,141.61,142.66
1211203800,142.81,144.3,142.3,143.05
1211290200,142.27,142.34,141,141.89
1211376600,141.81,142.12,139,139.49001
1211463000,139.42999,140.17,139,139.50999
1211549400,139.05,139.6631,137.52,137.64
1211895000,137.8,139,137.53,138.66
1211981400,139.17,140,138,139.3
1212067800,139.13,140.92999,139.08,140
1212154200,140.47,140.74001,139.94,140.35001
1212413400,139.83,139.86,138,138.89999
1212499800,139.3,139.62,137.23,138.09
1212586200,137.7,139.16,137.46001,138.02
1212672600,138.58,140.89,138.32001,140.78
1212759000,139.55,139.8,136.22,136.28999
1213018200,136.86,137.5,135.41,136.62
1213104600,135.67,137.10001,135.35001,135.94
1213191000,135.97,136.2592,133.92999,133.94
1213277400,134.60001,135.87,133.52,134.45
1213363800,135.17,136.52,134.418,136.14999
1213623000,135.55,136.92999,135.46001,136.23
1213709400,137.07001,137.12,135.37,135.57001
1213795800,134.69,135.5235,133.71001,134.25
1213882200,134.14999,135.24001,132,134.42
1213968600,132.84,133.09,131.22,131.58
1214227800,132.09,132.23,131.32001,131.45
1214314200,131.05,132.44,130.19,131.19
1214400600,131.72,133.39999,131.239,131.81
1214487000,130.57001,131.42,128.08,128.23
1214573400,128.28,128.86,127.035,127.53
1214832600,127.89,128.91,127.3,127.98
1214919000,126.52,128.47,125.92999,128.38
1215005400,128.78999,129.16,125.95,126.17999
1215091800,127.11,127.11,124.99001,126.31
1215437400,126.78999,127.34,123.92,125.02
1215523800,124.99001,127.39,124.2,127.24001
1215610200,127.5,127.74001,124.39,124.78999
1215696600,124.42999,125.78999,123.58,125.3
1215783000,123.97,125.89999,122.49001,123.84
1216042200,125.25999,125.5,122.39999,122.72
1216128600,121.8,123.49001,120.02,120.99001
1216215000,121.45,124.57001,121.10001,123.96001
1216301400,125.14,126.25999,124.09,125.2
1216387800,126.17,126.41589,125.14999,125.98
1216647000,126.50999,126.8,125.19,126.05
1216733400,125.14999,127.8,124.85001,127.48
1216819800,127.89,129.14999,127.55,128.17
1216906200,128.34,128.41,125.16,125.50999
